,INFOBLOX_TABLE,ROUTING_TABLE,Self_Overlap_INFOBLOX_TABLE,Self_Overlap_ROUTING_TABLE
0,3.0.0.3/32,10.39.42.0/23,-1.0,-1.0
1,3.0.0.0/255.255.255.255,10.39.42.0/23,-1.0,0.0
2,3.0.0.64/26,10.39.44.0/22,-1.0,-1.0
3,3.0.1.0/24,10.39.48.0/22,-1.0,-1.0
4,4.79.90.12/30,10.39.52.0/22,-1.0,-1.0
5,5.0.0.0/24,10.240.120.0/21,-1.0,-1.0
6,5.0.9.0/24,134.144.42.0/23,-1.0,-1.0
7,5.2.0.0/24,134.144.52.128/29,-1.0,-1.0
8,5.4.0.0/16,134.144.52.136/29,-1.0,-1.0
9,5.48.0.0/16,134.144.52.144/29,-1.0,-1.0
10,5.77.38.0/24,134.144.52.152/29,-1.0,-1.0
11,5.79.34.0/24,134.144.52.160/29,-1.0,-1.0
12,5.79.57.0/24,134.144.52.168/29,-1.0,-1.0
13,5.148.0.0/16,134.144.52.176/29,-1.0,-1.0
14,5.248.0.0/16,134.144.52.184/29,-1.0,-1.0
15,6.60.0.0/27,134.144.52.192/27,-1.0,-1.0
16,10.0.0.0/27,134.144.52.224/28,-1.0,-1.0
17,10.0.0.32/27,134.144.52.244/30,-1.0,-1.0
18,10.0.0.64/26,134.144.52.248/30,-1.0,-1.0
19,10.0.0.128/26,134.144.52.252/30,-1.0,-1.0
20,10.0.0.192/27,134.144.76.0/29,-1.0,-1.0
21,10.0.0.224/27,134.144.76.8/29,-1.0,-1.0
22,10.0.1.0/24,134.144.76.16/28,-1.0,-1.0
23,10.0.2.0/26,134.144.76.32/28,-1.0,-1.0
24,10.0.2.64/26,134.144.76.48/28,-1.0,-1.0
25,10.0.2.128/26,134.144.76.64/26,-1.0,-1.0
26,10.0.2.192/26,134.144.161.240/30,-1.0,-1.0
27,10.0.3.0/26,134.144.161.248/30,-1.0,-1.0
28,10.0.3.64/26,156.149.69.0/24,-1.0,-1.0
29,10.0.3.128/26,156.149.70.64/26,-1.0,-1.0
30,10.0.3.192/26,156.149.70.128/28,-1.0,-1.0
31,10.0.4.0/24,156.149.70.176/28,-1.0,-1.0
32,10.0.5.0/24,10.39.42.0/23,-1.0,0.0
33,10.0.6.0/24,10.39.44.0/22,-1.0,2.0
34,10.0.7.0/24,10.39.48.0/22,-1.0,3.0
35,10.0.9.0/24,10.39.52.0/22,-1.0,4.0
36,10.0.10.32/30,10.240.120.0/21,-1.0,5.0
37,10.0.10.36/30,134.144.42.0/23,-1.0,6.0
38,10.0.10.40/30,134.144.52.128/29,-1.0,7.0
39,10.0.10.44/30,134.144.52.136/29,-1.0,8.0
40,10.0.10.48/29,134.144.52.144/29,-1.0,9.0
41,10.0.10.56/29,134.144.52.152/29,-1.0,10.0
42,10.0.10.64/30,134.144.52.160/29,-1.0,11.0
43,10.0.10.128/27,134.144.52.168/29,-1.0,12.0
44,10.0.10.160/27,134.144.52.176/29,-1.0,13.0
45,10.0.10.192/27,134.144.52.184/29,-1.0,14.0
46,10.0.10.224/27,134.144.52.192/27,-1.0,15.0
47,10.0.11.0/24,134.144.52.224/28,-1.0,16.0
48,10.0.12.0/27,134.144.52.244/30,-1.0,17.0
49,10.0.12.32/27,134.144.52.248/30,-1.0,18.0
50,10.0.12.64/26,134.144.52.252/30,-1.0,19.0
51,10.0.12.128/27,134.144.76.0/29,-1.0,20.0
52,10.0.12.160/30,134.144.76.8/29,-1.0,21.0
53,10.0.12.164/30,134.144.76.16/28,-1.0,22.0
54,10.0.12.168/29,134.144.76.32/28,-1.0,23.0
55,10.0.12.176/30,134.144.76.48/28,-1.0,24.0
56,10.0.12.180/30,134.144.76.64/26,-1.0,25.0
57,10.0.12.184/30,134.144.161.240/30,-1.0,26.0
58,10.0.12.188/30,134.144.161.248/30,-1.0,27.0
59,10.0.12.192/27,156.149.69.0/24,-1.0,28.0
60,10.0.12.224/27,156.149.70.64/26,-1.0,29.0
61,10.0.13.0/25,156.149.70.128/28,-1.0,30.0
62,10.0.13.128/27,156.149.70.176/28,-1.0,31.0
63,10.0.13.160/27,145.30.146.0/23,-1.0,-1.0
64,10.0.13.192/26,145.30.150.0/23,-1.0,-1.0
65,10.0.14.0/24,161.126.232.0/23,-1.0,-1.0
66,10.0.15.0/27,172.20.224.0/20,-1.0,-1.0
67,10.0.15.32/27,145.30.146.0/23,-1.0,63.0
68,10.0.15.64/26,145.30.150.0/23,-1.0,64.0
69,10.0.15.128/27,161.126.232.0/23,-1.0,65.0
70,10.0.15.160/27,172.20.224.0/20,-1.0,66.0
71,10.0.15.192/27,134.162.105.8/30,-1.0,-1.0
72,10.0.15.224/28,156.149.197.192/27,-1.0,-1.0
73,10.0.15.240/29,161.126.160.0/22,-1.0,-1.0
74,10.0.15.248/30,161.126.165.0/25,-1.0,-1.0
75,10.0.15.252/30,161.126.165.128/26,-1.0,-1.0
