,INFOBLOX_TABLE,ROUTING_TABLE,SELF_OVERLAP_A,SELF_OVERLAP_B,CROSS_OVERLAP_A_2_B,CROSS_OVERLAP_B_2_A
0,3.0.0.3/32,10.39.42.0/23,NO,NO,NO,NO
1,3.0.0.0/255.255.255.255,10.39.42.0/23,NO,0,NO,0
2,3.0.0.64/26,10.39.44.0/22,NO,NO,NO,NO
3,3.0.1.0/24,10.39.48.0/22,NO,NO,NO,NO
4,4.79.90.12/30,10.39.52.0/22,NO,NO,NO,NO
5,5.0.0.0/24,10.240.120.0/21,NO,NO,NO,NO
6,5.0.9.0/24,134.144.42.0/23,NO,NO,NO,NO
7,5.2.0.0/24,134.144.52.128/29,NO,NO,NO,43775
8,5.4.0.0/16,134.144.52.136/29,NO,NO,NO,43775
9,5.48.0.0/16,134.144.52.144/29,NO,NO,NO,43775
10,5.77.38.0/24,134.144.52.152/29,NO,NO,NO,43775
11,5.79.34.0/24,134.144.52.160/29,NO,NO,NO,43775
12,5.79.57.0/24,134.144.52.168/29,NO,NO,NO,43775
13,5.148.0.0/16,134.144.52.176/29,NO,NO,NO,43775
14,5.248.0.0/16,134.144.52.184/29,NO,NO,NO,43775
15,6.60.0.0/27,134.144.52.192/27,NO,NO,NO,43775
16,10.0.0.0/27,134.144.52.224/28,NO,NO,113,43775
17,10.0.0.32/27,134.144.52.244/30,NO,NO,113,43775
18,10.0.0.64/26,134.144.52.248/30,NO,NO,113,43775
19,10.0.0.128/26,134.144.52.252/30,NO,NO,113,43775
20,10.0.0.192/27,134.144.76.0/29,NO,NO,113,43987
21,10.0.0.224/27,134.144.76.8/29,NO,NO,113,43987
22,10.0.1.0/24,134.144.76.16/28,NO,NO,113,43987
23,10.0.2.0/26,134.144.76.32/28,NO,NO,113,43987
24,10.0.2.64/26,134.144.76.48/28,NO,NO,113,43987
25,10.0.2.128/26,134.144.76.64/26,NO,NO,113,43987
26,10.0.2.192/26,134.144.161.240/30,NO,NO,113,44562
27,10.0.3.0/26,134.144.161.248/30,NO,NO,113,44563
28,10.0.3.64/26,156.149.69.0/24,NO,NO,113,NO
29,10.0.3.128/26,156.149.70.64/26,NO,NO,113,78963
30,10.0.3.192/26,156.149.70.128/28,NO,NO,113,78964
31,10.0.4.0/24,156.149.70.176/28,NO,NO,113,78964
32,10.0.5.0/24,10.39.42.0/23,NO,0,113,0
33,10.0.6.0/24,10.39.44.0/22,NO,2,113,2
34,10.0.7.0/24,10.39.48.0/22,NO,3,113,3
35,10.0.9.0/24,10.39.52.0/22,NO,4,113,4
36,10.0.10.32/30,10.240.120.0/21,NO,5,113,5
37,10.0.10.36/30,134.144.42.0/23,NO,6,113,6
38,10.0.10.40/30,134.144.52.128/29,NO,7,113,43775
39,10.0.10.44/30,134.144.52.136/29,NO,8,113,43775
40,10.0.10.48/29,134.144.52.144/29,NO,9,113,43775
41,10.0.10.56/29,134.144.52.152/29,NO,10,113,43775
42,10.0.10.64/30,134.144.52.160/29,NO,11,113,43775
43,10.0.10.128/27,134.144.52.168/29,NO,12,113,43775
44,10.0.10.160/27,134.144.52.176/29,NO,13,113,43775
45,10.0.10.192/27,134.144.52.184/29,NO,14,113,43775
46,10.0.10.224/27,134.144.52.192/27,NO,15,113,43775
47,10.0.11.0/24,134.144.52.224/28,NO,16,113,43775
48,10.0.12.0/27,134.144.52.244/30,NO,17,113,43775
49,10.0.12.32/27,134.144.52.248/30,NO,18,113,43775
50,10.0.12.64/26,134.144.52.252/30,NO,19,113,43775
51,10.0.12.128/27,134.144.76.0/29,NO,20,113,43987
52,10.0.12.160/30,134.144.76.8/29,NO,21,113,43987
53,10.0.12.164/30,134.144.76.16/28,NO,22,113,43987
54,10.0.12.168/29,134.144.76.32/28,NO,23,113,43987
55,10.0.12.176/30,134.144.76.48/28,NO,24,113,43987
56,10.0.12.180/30,134.144.76.64/26,NO,25,113,43987
57,10.0.12.184/30,134.144.161.240/30,NO,26,113,44562
58,10.0.12.188/30,134.144.161.248/30,NO,27,113,44563
59,10.0.12.192/27,156.149.69.0/24,NO,28,113,28
60,10.0.12.224/27,156.149.70.64/26,NO,29,113,78963
61,10.0.13.0/25,156.149.70.128/28,NO,30,113,78964
62,10.0.13.128/27,156.149.70.176/28,NO,31,113,78964
63,10.0.13.160/27,145.30.146.0/23,NO,NO,113,NO
64,10.0.13.192/26,145.30.150.0/23,NO,NO,113,NO
65,10.0.14.0/24,161.126.232.0/23,NO,NO,113,NO
66,10.0.15.0/27,172.20.224.0/20,NO,NO,113,NO
67,10.0.15.32/27,145.30.146.0/23,NO,63,113,63
68,10.0.15.64/26,145.30.150.0/23,NO,64,113,64
69,10.0.15.128/27,161.126.232.0/23,NO,65,113,65
70,10.0.15.160/27,172.20.224.0/20,NO,66,113,66
71,10.0.15.192/27,134.162.105.8/30,NO,NO,113,NO
72,10.0.15.224/28,156.149.197.192/27,NO,NO,113,NO
73,10.0.15.240/29,161.126.160.0/22,NO,NO,113,NO
74,10.0.15.248/30,161.126.165.0/25,NO,NO,113,NO
75,10.0.15.252/30,161.126.165.128/26,NO,NO,113,NO
76,10.0.16.0/28,161.126.168.0/21,NO,NO,113,NO
77,10.0.16.16/28,161.126.176.0/23,NO,NO,113,NO
78,10.0.16.32/28,161.126.179.0/25,NO,NO,113,NO
79,10.0.16.48/28,161.126.179.128/26,NO,NO,113,NO
80,10.0.16.64/27,161.126.180.0/25,NO,NO,113,NO
81,10.0.16.96/27,161.126.180.128/26,NO,NO,113,NO
82,10.0.16.128/25,161.126.216.0/22,NO,NO,113,NO
83,10.0.17.0/24,134.162.105.8/30,NO,71,113,71
84,10.0.18.0/24,156.149.197.192/27,NO,72,113,72
85,10.0.19.0/25,161.126.160.0/22,NO,73,113,73
86,10.0.19.128/27,161.126.165.0/25,NO,74,113,74
87,10.0.19.160/28,161.126.165.128/26,NO,75,113,75
88,10.0.19.176/28,161.126.168.0/21,NO,76,113,76
89,10.0.19.192/27,161.126.176.0/23,NO,77,113,77
90,10.0.19.224/27,161.126.179.0/25,NO,78,113,78
91,10.0.20.0/27,161.126.179.128/26,NO,79,113,79
92,10.0.20.32/27,161.126.180.0/25,NO,80,113,80
93,10.0.20.64/27,161.126.180.128/26,NO,81,113,81
94,10.0.20.96/27,161.126.216.0/22,NO,82,113,82
95,10.0.20.128/27,156.31.128.0/21,NO,NO,113,NO
96,10.0.20.160/27,156.31.128.0/21,NO,95,113,95
97,10.0.20.192/27,10.247.160.0/22,NO,NO,113,NO
98,10.0.20.224/27,156.31.120.0/23,NO,NO,113,NO
99,10.0.21.0/25,10.247.160.0/22,NO,97,113,97
100,10.0.21.128/25,156.31.120.0/23,NO,98,113,98
101,10.0.22.0/25,10.51.0.0/16,NO,NO,113,NO
102,10.0.22.128/27,172.29.56.160/28,NO,NO,113,88392
103,10.0.22.160/27,134.144.246.0/23,NO,NO,113,NO
104,10.0.22.192/26,156.149.32.0/19,NO,NO,113,NO
105,10.0.23.0/24,134.144.246.0/23,NO,103,113,103
106,10.0.24.0/27,156.149.32.0/19,NO,104,113,104
107,10.0.24.32/27,10.228.32.0/19,NO,NO,113,NO
108,10.0.24.64/26,10.228.96.0/19,NO,NO,113,NO
109,10.0.24.128/25,10.238.0.0/16,NO,NO,113,NO
110,10.0.25.0/27,10.228.32.0/19,NO,107,113,107
111,10.0.25.32/27,10.228.96.0/19,NO,108,113,108
112,10.0.25.64/27,10.238.0.0/16,NO,109,113,109
113,10.0.25.96/27,10.0.0.0/16,NO,NO,113,NO
114,10.0.25.128/26,10.1.0.0/16,NO,NO,113,NO
115,10.0.25.192/26,10.3.0.0/16,NO,NO,113,NO
116,10.0.26.0/27,10.3.130.0/24,NO,115,113,115
117,10.0.26.32/27,10.3.131.0/24,NO,115,113,115
118,10.0.26.64/26,10.3.137.0/25,NO,115,113,115
119,10.0.26.128/28,10.3.142.0/24,NO,115,113,115
120,10.0.26.144/29,10.4.0.0/16,NO,NO,113,NO
121,10.0.26.152/29,10.6.0.0/24,NO,NO,113,NO
122,10.0.26.160/27,10.6.2.0/24,NO,NO,113,570
123,10.0.26.192/28,10.6.155.16/29,NO,NO,113,620
124,10.0.26.208/29,10.9.0.0/18,NO,NO,113,NO
125,10.0.26.216/29,10.9.0.0/16,NO,NO,113,NO
126,10.0.26.224/29,10.9.64.0/20,NO,125,113,125
127,10.0.26.232/29,10.10.192.0/20,NO,NO,113,905
128,10.0.26.240/30,10.10.208.0/20,NO,NO,113,905
129,10.0.26.244/30,10.10.224.0/20,NO,NO,113,906
130,10.0.26.248/29,10.10.240.0/20,NO,NO,113,906
131,10.0.27.0/26,10.14.0.0/16,NO,NO,113,NO
132,10.0.27.64/26,10.18.0.0/27,NO,NO,113,1141
133,10.0.27.128/26,10.18.0.0/16,NO,NO,113,NO
134,10.0.27.192/26,10.18.0.32/27,NO,133,113,1141
135,10.0.28.0/26,10.18.0.64/27,NO,133,113,1141
136,10.0.28.64/26,10.18.0.96/27,NO,133,113,1141
137,10.0.28.128/26,10.18.0.128/27,NO,133,113,1141
138,10.0.28.192/27,10.18.0.160/27,NO,133,113,1141
139,10.0.28.224/27,10.18.0.192/27,NO,133,113,1141
140,10.0.29.0/24,10.18.0.224/27,NO,133,113,1141
141,10.0.30.0/24,10.18.1.32/27,NO,133,113,1141
142,10.0.31.0/24,10.18.1.64/27,NO,133,113,1141
143,10.0.32.0/28,10.18.1.96/27,NO,133,113,1141
144,10.0.32.16/29,10.18.1.128/27,NO,133,113,1141
145,10.0.32.24/29,10.18.1.160/27,NO,133,113,1141
146,10.0.32.32/28,10.18.1.192/27,NO,133,113,1141
147,10.0.32.48/28,10.18.1.224/27,NO,133,113,1141
148,10.0.32.64/26,10.18.2.0/27,NO,133,113,1141
149,10.0.32.128/26,10.18.2.32/27,NO,133,113,1141
150,10.0.32.192/26,10.18.2.64/27,NO,133,113,1141
151,10.0.33.0/24,10.18.2.96/27,NO,133,113,1141
152,10.0.34.0/24,10.18.2.128/27,NO,133,113,1141
153,10.0.35.0/26,10.18.2.160/27,NO,133,113,1141
154,10.0.35.64/27,10.18.2.192/27,NO,133,113,1141
155,10.0.35.96/27,10.18.2.224/27,NO,133,113,1141
156,10.0.35.128/26,10.18.3.0/27,NO,133,113,1141
157,10.0.35.192/26,10.18.3.32/27,NO,133,113,1141
158,10.0.36.0/23,10.18.3.64/27,NO,133,113,1141
159,10.0.38.0/23,10.18.3.128/27,NO,133,113,1141
160,10.0.40.0/23,10.18.3.160/27,NO,133,113,1141
161,10.0.42.0/23,10.18.3.224/27,NO,133,113,1141
162,10.0.44.0/23,10.18.4.0/27,NO,133,113,1141
163,10.0.46.0/23,10.18.4.32/27,NO,133,113,1141
164,10.0.48.0/26,10.18.4.64/27,NO,133,113,1141
165,10.0.48.64/26,10.18.4.96/27,NO,133,113,1141
166,10.0.48.128/26,10.18.4.128/27,NO,133,113,1141
167,10.0.48.192/28,10.18.4.160/27,NO,133,113,1141
168,10.0.48.208/30,10.18.4.192/27,NO,133,113,1141
169,10.0.48.212/30,10.18.4.224/27,NO,133,113,1141
170,10.0.48.216/29,10.18.5.0/27,NO,133,113,1141
171,10.0.48.224/27,10.18.5.32/27,NO,133,113,1141
172,10.0.49.0/27,10.18.5.96/27,NO,133,113,1141
173,10.0.49.32/28,10.18.5.128/27,NO,133,113,1141
174,10.0.49.48/28,10.18.5.160/27,NO,133,113,1141
175,10.0.49.64/26,10.18.5.224/27,NO,133,113,1141
176,10.0.49.128/27,10.18.6.0/27,NO,133,113,1141
177,10.0.49.160/27,10.18.6.32/27,NO,133,113,1141
178,10.0.49.192/26,10.18.6.64/27,NO,133,113,1141
179,10.0.50.0/26,10.18.6.96/27,NO,133,113,1141
180,10.0.50.64/26,10.18.7.32/27,NO,133,113,1141
181,10.0.50.128/26,10.18.7.192/27,NO,133,113,1141
182,10.0.50.192/26,10.18.16.0/27,NO,133,113,1144
183,10.0.51.0/25,10.18.16.32/27,NO,133,113,1144
184,10.0.51.128/25,10.18.16.64/27,NO,133,113,1144
185,10.0.52.0/26,10.18.16.96/27,NO,133,113,1144
186,10.0.52.64/26,10.18.16.128/27,NO,133,113,1144
187,10.0.52.128/26,10.18.16.160/27,NO,133,113,1144
188,10.0.52.192/26,10.18.16.192/27,NO,133,113,1144
189,10.0.53.0/27,10.18.16.224/27,NO,133,113,1144
190,10.0.53.32/28,10.18.17.32/27,NO,133,113,1144
191,10.0.53.48/28,10.18.17.64/27,NO,133,113,1144
